Dilshad Garden to Jhilmil via Dilshad Garden → Jhilmil | Lines: RED_Rithala to Dilshad Garden
Dilshad Garden to Mansrover park via Dilshad Garden → Jhilmil → Mansrover park | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden
Dilshad Garden to Shahdara via Dilshad Garden → Jhilmil → Mansrover park → Shahdara | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden
Dilshad Garden to Welcome via Dilshad Garden → Jhilmil → Mansrover park → Shahdara → Welcome | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden
Dilshad Garden to Seelam Pur via Dilshad Garden → Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden
Dilshad Garden to Shastri Park via Dilshad Garden → Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden
Dilshad Garden to Kashmere Gate via Dilshad Garden → Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden
Dilshad Garden to Tis Hazari via Dilshad Garden → Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Tis Hazari | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden
Dilshad Garden to Pul Bangash via Dilshad Garden → Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Tis Hazari → Pul Bangash | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden
Dilshad Garden to Pratap Nagar via Dilshad Garden → Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Tis Hazari → Pul Bangash → Pratap Nagar | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden
Dilshad Garden to Shastri Nagar via Dilshad Garden → Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Tis Hazari → Pul Bangash → Pratap Nagar → Shastri Nagar | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden
Dilshad Garden to Inderlok via Dilshad Garden → Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Tis Hazari → Pul Bangash → Pratap Nagar → Shastri Nagar → Inderlok | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden
Dilshad Garden to Kanhaiya Nagar via Dilshad Garden → Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Tis Hazari → Pul Bangash → Pratap Nagar → Shastri Nagar → Inderlok → Kanhaiya Nagar | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden
